marital_status,app_mode,course,daytime_evening,previous_qualification,previous_grade,nationality,mother_qualification,father_qualification,mother_occupation,father_occupation,admission_grade,Displaced,special_needs,debtor,fees_to_date,gender,scholarship,enrollment_age,international,unemployment_rate,inflation_rate,gdp,target,enrolled_units,units_evaluations,aproved_units,grade
1,17,9500,1,1,135,1,19,1,5,4,127.3,1,0,0,1,0,0,18,0,15.5,2.8,-4.06,Graduate,15,16,15,13.925625
1,1,9130,1,1,137,1,3,19,3,5,136.3,1,0,0,1,0,0,20,0,10.8,1.4,1.74,Graduate,10,16,8,12.375
1,1,9853,1,1,140,1,19,19,7,7,124.6,1,0,0,1,0,0,18,0,16.2,0.3,-0.92,Enrolled,14,15,12,12.58333333
1,1,171,1,1,122,1,1,1,9,8,120.3,0,0,0,1,0,1,21,0,11.1,0.6,2.02,Graduate,0,0,0,0
1,18,9556,1,1,127,1,1,38,4,7,121.8,1,0,0,1,0,0,20,0,12.7,3.7,-1.7,Enrolled,15,23,15,11.43125
1,1,9500,1,1,142,1,19,19,1,1,125.5,1,0,0,1,0,0,18,0,12.7,3.7,-1.7,Graduate,16,24,14,12.85714286
1,1,9670,1,1,125,1,1,38,4,7,114.9,1,0,0,1,0,1,19,0,11.1,0.6,2.02,Graduate,12,15,12,12.83035715
1,1,9500,1,1,126,1,19,19,3,7,123.9,0,0,0,1,0,0,19,0,11.1,0.6,2.02,Graduate,15,17,13,13.70547619
1,1,9238,1,1,151,1,19,38,9,9,157,1,0,1,1,0,1,18,0,7.6,2.6,0.32,Enrolled,12,20,9,11.3
1,17,9238,1,1,115,1,19,38,7,8,116.4,1,0,0,1,0,0,21,0,16.2,0.3,-0.92,Graduate,12,18,12,12.33035715
1,1,9085,1,1,138,1,19,19,3,3,131,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Enrolled,10,16,9,12.83333333
1,1,9147,1,1,135,1,19,1,9,9,122.1,1,0,0,1,0,0,20,0,16.2,0.3,-0.92,Graduate,10,12,10,12.16666667
1,17,9500,1,1,127,1,3,3,1,10,118.8,1,0,0,1,1,0,19,0,16.2,0.3,-0.92,Enrolled,14,16,12,13.325
1,44,9003,1,39,150,1,4,5,4,2,150,0,0,0,1,1,0,21,0,16.2,0.3,-0.92,Enrolled,12,32,10,11.21428571
1,51,9070,1,1,125,1,42,3,125,124,130,1,0,0,1,1,0,20,0,8.9,1.4,3.51,Graduate,12,16,10,13.11666667
1,1,9147,1,1,143,1,1,1,4,6,138.8,0,0,0,0,1,0,18,0,8.9,1.4,3.51,Enrolled,10,17,5,12.41666667
1,18,8014,0,1,138,1,19,1,9,5,134.5,1,0,0,1,0,0,19,0,12.4,0.5,1.79,Graduate,12,14,12,13.52083333
1,1,9991,0,1,130,1,2,37,3,9,131.4,0,0,0,1,1,0,34,0,13.9,-0.3,0.79,Graduate,10,15,10,12.91428572
1,39,33,1,1,130,1,38,37,9,6,102.5,0,0,1,0,1,0,37,0,8.9,1.4,3.51,Dropout,14,14,1,5
1,39,9119,1,10,133.1,1,34,37,0,0,128.8,1,0,0,1,1,0,43,0,7.6,2.6,0.32,Dropout,10,0,0,0
1,43,9147,1,1,140,1,37,37,6,6,122.9,0,0,0,1,0,0,55,0,16.2,0.3,-0.92,Dropout,10,18,3,11
4,39,9991,0,1,120,1,19,19,9,3,113.9,1,0,0,1,0,0,39,0,7.6,2.6,0.32,Graduate,10,13,10,11.3
1,44,9130,1,39,120,6,4,4,3,6,120,0,0,1,0,0,0,20,1,12.4,0.5,1.79,Dropout,12,24,6,11.83333333
1,1,9773,1,1,126,1,3,3,2,2,121.1,0,0,1,1,0,0,18,0,12.7,3.7,-1.7,Dropout,11,11,4,6.375
1,1,9147,1,1,133,1,3,19,2,7,120.4,1,0,0,1,0,0,22,0,8.9,1.4,3.51,Graduate,10,10,10,15.3
1,1,9500,1,1,103,1,1,3,2,2,100.6,1,1,0,1,0,0,22,0,11.1,0.6,2.02,Graduate,15,18,12,14.13542857
1,17,9773,1,1,120,1,1,38,5,5,121.4,0,0,0,0,0,0,20,0,12.4,0.5,1.79,Dropout,12,14,9,13.4
1,39,9991,0,1,133.1,1,37,37,9,9,109.7,0,0,0,1,0,0,29,0,16.2,0.3,-0.92,Dropout,10,0,0,0
1,17,9991,0,1,154,1,38,38,4,5,134.1,0,0,0,1,0,0,24,0,7.6,2.6,0.32,Enrolled,10,20,5,12.91666667
1,17,9238,1,1,130,1,19,19,9,9,127.6,1,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate,12,14,11,12.43333334
1,17,9500,1,1,132,1,37,19,7,7,132.4,1,0,0,1,0,1,22,0,11.1,0.6,2.02,Graduate,15,17,13,13.64404762
1,44,8014,0,39,130,1,1,19,9,9,133.4,0,0,0,1,0,1,21,0,12.4,0.5,1.79,Graduate,12,13,12,12.39285715
1,1,9238,1,1,139,1,37,38,9,9,126.1,0,0,0,1,0,1,19,0,12.7,3.7,-1.7,Graduate,12,14,11,12.58333333
1,39,9254,1,1,130,1,19,38,9,7,113.5,0,0,0,1,0,1,24,0,12.4,0.5,1.79,Graduate,12,12,12,13.91666667
1,1,9500,1,1,139,1,37,38,6,6,121.3,1,0,0,1,0,1,19,0,9.4,-0.8,-3.12,Enrolled,16,20,12,11.83333333
1,1,9773,1,1,127,1,1,19,7,7,121.8,1,0,0,1,0,1,20,0,9.4,-0.8,-3.12,Enrolled,12,23,7,12.5
1,1,9130,1,1,167,1,37,37,90,90,159.3,0,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate,10,12,10,15.25714286
1,39,9991,0,1,130,1,38,38,9,9,120,0,0,0,1,0,0,27,0,9.4,-0.8,-3.12,Dropout,10,22,10,10.8
1,1,9500,1,1,130,1,1,19,5,5,129.1,1,0,0,1,0,0,18,0,15.5,2.8,-4.06,Graduate,15,19,15,13.31972222
2,7,9254,1,3,130,1,1,3,4,3,130,0,0,0,1,0,0,39,0,12.4,0.5,1.79,Dropout,12,16,0,0
1,39,9130,1,40,129,1,3,3,2,2,155.3,1,0,0,1,0,0,27,0,12.4,0.5,1.79,Dropout,17,22,15,12.95
1,17,9500,1,1,141,1,38,38,7,10,139.8,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Graduate,16,16,16,14.935
1,1,171,1,1,125,1,38,37,4,9,115.2,1,0,0,1,0,0,18,0,7.6,2.6,0.32,Enrolled,0,0,0,0
1,1,9500,1,1,125,1,19,19,9,9,114.9,0,0,0,1,0,0,18,0,16.2,0.3,-0.92,Graduate,15,20,13,12.67738095
1,44,9238,1,39,130,1,19,1,9,9,131.9,0,0,0,1,0,1,21,0,13.9,-0.3,0.79,Graduate,12,14,12,12
1,17,171,1,1,133,1,1,37,4,7,126,1,0,0,1,1,1,19,0,10.8,1.4,1.74,Enrolled,0,0,0,0
1,17,9070,1,1,127,1,1,1,3,4,130.2,1,0,0,1,1,0,19,0,10.8,1.4,1.74,Enrolled,12,14,6,10.7
1,43,9070,1,1,116,1,1,1,3,3,120.9,0,0,0,1,1,0,24,0,12.7,3.7,-1.7,Enrolled,12,12,0,0
4,42,9500,1,19,133.1,1,1,1,5,5,126,1,0,0,1,1,0,29,0,13.9,-0.3,0.79,Dropout,15,20,10,11.45
1,1,171,1,1,139,1,19,19,5,3,128.2,1,0,0,1,1,1,19,0,10.8,1.4,1.74,Graduate,0,0,0,0
1,44,9003,1,39,130,1,19,37,9,9,130,1,0,0,1,1,0,23,0,8.9,1.4,3.51,Graduate,12,15,12,12.5
1,1,9147,1,1,125,1,1,38,7,7,120.1,0,0,1,1,1,0,19,0,16.2,0.3,-0.92,Dropout,10,18,9,10.975
1,39,9254,1,1,160,1,19,37,7,10,100,0,0,0,1,1,0,26,0,12.7,3.7,-1.7,Enrolled,12,15,11,11.4
1,17,9147,1,1,148,1,38,37,5,5,134,0,0,0,1,1,0,18,0,7.6,2.6,0.32,Enrolled,10,14,0,0
1,17,9500,1,1,150,1,37,19,8,4,130.8,0,0,0,1,1,0,24,0,13.9,-0.3,0.79,Graduate,15,16,15,12.8625
1,1,171,1,1,141,1,19,19,5,10,135.8,1,0,0,1,1,0,19,0,15.5,2.8,-4.06,Dropout,0,0,0,0
1,17,9254,1,1,118,1,38,37,5,7,111.7,1,0,0,1,1,0,18,0,12.4,0.5,1.79,Dropout,12,24,4,11.83333333
1,1,9773,1,1,142,1,38,38,9,9,132.9,1,0,0,1,1,0,18,0,10.8,1.4,1.74,Graduate,12,19,9,12.33333333
1,17,9147,1,1,120,1,19,19,4,7,115.5,1,0,1,1,1,0,18,0,10.8,1.4,1.74,Dropout,10,19,6,10.5952381
1,18,9254,1,1,106,1,19,37,7,7,106,1,0,0,1,1,1,21,0,9.4,-0.8,-3.12,Dropout,12,19,5,10.75
1,17,9773,1,1,121,1,1,19,9,8,120.3,1,0,1,1,1,1,19,0,8.9,1.4,3.51,Graduate,12,12,12,13.5
1,17,9500,1,1,150,1,38,37,9,9,130.8,0,0,0,1,1,1,22,0,16.2,0.3,-0.92,Graduate,15,16,15,14.94920635
2,39,8014,0,1,120,1,37,37,9,6,117,0,0,0,1,1,0,33,0,10.8,1.4,1.74,Graduate,12,14,12,11.83333333
1,1,9853,1,1,114,1,19,19,9,9,110.2,1,0,0,1,1,0,20,0,10.8,1.4,1.74,Dropout,12,15,10,12.2
1,39,9991,0,2,140,1,3,3,2,2,155.7,1,0,0,1,1,0,35,0,10.8,1.4,1.74,Dropout,6,1,0,0
1,39,9003,1,4,160,1,3,3,4,2,180.4,0,0,1,1,1,0,24,0,12.4,0.5,1.79,Dropout,24,31,16,12.73333334
1,17,9254,1,1,120,1,19,19,4,4,125.5,0,0,0,1,1,0,18,0,12.7,3.7,-1.7,Enrolled,10,14,8,11.66666667
2,39,8014,0,1,130,1,37,37,9,6,110,1,0,0,1,0,0,33,0,9.4,-0.8,-3.12,Graduate,12,18,11,11
1,42,9500,1,1,160,1,37,38,9,7,161,1,0,0,1,0,1,22,0,10.8,1.4,1.74,Graduate,16,16,14,13.08
1,39,9670,1,1,120,1,1,19,4,5,100,0,0,0,1,0,1,25,0,9.4,-0.8,-3.12,Graduate,10,14,9,11.05
1,17,9070,1,1,124,1,19,38,4,0,117.6,1,0,0,1,1,0,20,0,7.6,2.6,0.32,Graduate,12,15,11,10.93333334
1,1,9147,1,1,143,1,38,37,9,9,128.7,1,0,0,1,1,0,23,0,11.1,0.6,2.02,Enrolled,10,11,9,13.9
1,43,9119,1,1,115,1,38,19,9,6,112.2,1,0,1,1,1,0,18,0,15.5,2.8,-4.06,Enrolled,10,18,2,5
1,39,9500,1,1,133.1,1,1,1,4,10,100.8,0,0,0,1,1,0,24,0,13.9,-0.3,0.79,Dropout,14,25,0,0
1,17,9773,1,1,133.1,41,19,1,9,9,105,1,0,0,0,0,0,21,1,8.9,1.4,3.51,Graduate,12,12,12,13.75
1,15,9130,1,1,133.1,41,1,1,4,4,100,0,0,0,1,0,0,26,1,8.9,1.4,3.51,Dropout,12,13,2,6
2,39,9853,1,10,133.1,1,37,34,0,0,115.5,0,0,0,1,0,0,39,0,7.6,2.6,0.32,Dropout,12,26,3,6.333333335
2,39,8014,0,1,133.1,1,37,19,9,9,114,0,0,0,1,0,0,44,0,12.7,3.7,-1.7,Graduate,14,18,14,12.10416667
1,15,9119,1,1,130,26,38,3,9,2,137,1,0,0,1,1,0,19,1,13.9,-0.3,0.79,Enrolled,10,20,8,13.625
1,1,9773,1,1,135,1,37,1,5,5,124.9,1,0,0,1,0,0,18,0,8.9,1.4,3.51,Graduate,12,12,12,13.5
1,1,9500,1,1,132,1,37,37,7,7,120.3,1,0,0,1,0,1,18,0,12.4,0.5,1.79,Graduate,15,16,15,14.11388889
1,1,9085,1,1,135,1,1,2,9,1,134.3,1,0,0,1,0,0,19,0,12.7,3.7,-1.7,Enrolled,10,14,10,14
1,1,9500,1,1,115,1,3,3,2,2,111.5,1,0,1,0,0,0,19,0,13.9,-0.3,0.79,Dropout,14,17,4,5.98
1,53,9085,1,42,130,1,38,38,9,9,128.8,0,0,0,1,0,0,21,0,8.9,1.4,3.51,Dropout,19,26,13,13.1375
1,1,171,1,1,133.1,1,1,1,9,10,110,1,0,0,1,0,0,20,0,16.2,0.3,-0.92,Graduate,0,0,0,0
2,39,8014,0,1,130,1,37,37,6,5,113.5,1,0,0,1,0,0,36,0,9.4,-0.8,-3.12,Dropout,12,0,0,0
4,39,9003,1,12,133.1,1,37,37,9,6,160,0,0,0,1,0,0,43,0,15.5,2.8,-4.06,Graduate,31,33,31,14.43117409
1,18,9853,1,1,123,1,19,19,9,7,117.4,1,0,0,1,0,0,19,0,11.1,0.6,2.02,Dropout,12,0,0,0
1,51,9070,1,1,130,1,3,1,2,8,122.2,0,0,1,1,0,0,20,0,11.1,0.6,2.02,Graduate,21,23,21,12.63636364
1,1,9238,1,1,122,1,37,38,4,7,118.2,1,0,0,1,0,0,19,0,16.2,0.3,-0.92,Dropout,12,0,0,0
1,1,9085,1,1,113,1,1,1,4,4,106.7,1,0,0,1,0,0,20,0,15.5,2.8,-4.06,Dropout,12,32,8,13.725
1,1,9500,1,1,111,1,3,4,4,3,108.2,1,0,0,1,0,0,20,0,12.4,0.5,1.79,Dropout,14,19,11,12.78333334
1,17,9853,1,1,133.1,1,19,1,9,3,107,1,0,0,1,0,0,20,0,16.2,0.3,-0.92,Enrolled,14,22,9,12.33333333
1,1,9238,1,1,142,1,37,37,6,7,136.1,1,0,0,1,0,0,18,0,13.9,-0.3,0.79,Graduate,12,14,12,14.42857143
1,17,9147,1,1,123,1,1,38,4,7,115.3,1,0,0,1,0,1,18,0,8.9,1.4,3.51,Enrolled,10,20,6,12
1,1,9085,1,1,131,1,19,19,9,9,139.8,1,0,0,1,0,0,19,0,10.8,1.4,1.74,Graduate,10,11,10,13.1
1,1,9773,1,1,158,1,1,38,4,7,157,1,0,0,1,0,0,18,0,10.8,1.4,1.74,Graduate,12,13,12,12.61904762
1,17,9500,1,1,122,1,37,37,9,9,131,1,0,0,1,0,0,18,0,7.6,2.6,0.32,Dropout,14,14,12,12.51666667
1,43,9500,1,1,130,1,38,38,9,5,100,0,0,0,1,0,0,20,0,13.9,-0.3,0.79,Enrolled,14,18,13,12.30833334
1,17,9238,1,1,154,1,19,37,9,7,140.4,1,0,0,1,0,1,20,0,7.6,2.6,0.32,Enrolled,12,25,6,10.375
1,17,9147,1,1,120,1,19,19,3,3,113.4,0,0,0,1,0,0,20,0,12.4,0.5,1.79,Enrolled,10,21,6,10.5
1,1,9085,1,1,140,1,37,38,9,7,137,0,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Graduate,10,18,10,12.27142857
1,1,9147,1,1,127,1,2,19,4,5,121.8,0,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate,10,10,10,13.3
1,17,9254,1,1,133.1,1,1,1,4,5,131,1,0,0,1,0,0,21,0,9.4,-0.8,-3.12,Dropout,12,24,5,11
1,1,9147,1,1,120,1,19,19,9,7,118.6,1,0,0,1,0,0,19,0,16.2,0.3,-0.92,Graduate,10,17,9,11.025
1,1,171,1,1,137,1,3,19,2,9,122.3,0,0,0,1,0,0,19,0,10.8,1.4,1.74,Dropout,0,0,0,0
1,1,9670,1,1,131,1,38,38,9,9,127.9,0,0,0,1,0,1,19,0,9.4,-0.8,-3.12,Graduate,10,10,10,13.5
1,1,9085,1,1,130,1,19,38,4,7,121.3,1,0,0,1,0,0,19,0,15.5,2.8,-4.06,Graduate,12,28,12,13.18333334
1,17,9556,1,1,122,1,1,1,4,5,117.1,1,0,0,1,0,0,19,0,13.9,-0.3,0.79,Dropout,14,12,5,6.05
1,44,9085,1,39,160,1,37,37,9,9,160,1,0,0,1,0,0,20,0,12.4,0.5,1.79,Graduate,12,24,11,13.97222223
1,1,9853,1,1,146,1,19,38,9,3,145.3,1,0,0,1,0,1,18,0,9.4,-0.8,-3.12,Enrolled,12,15,10,13.1
1,17,9238,1,1,131,1,1,39,5,3,122.6,1,0,0,1,0,0,18,0,12.4,0.5,1.79,Graduate,12,13,12,13.33333333
1,17,9500,1,1,132,1,1,37,8,9,128,1,0,0,1,0,0,19,0,12.4,0.5,1.79,Graduate,15,16,15,14.23912698
1,1,9500,1,1,138,1,19,19,5,8,124.9,1,0,0,1,0,1,18,0,13.9,-0.3,0.79,Dropout,15,18,14,13.49017857
1,17,9070,1,1,130,1,37,37,9,9,123.7,1,0,0,1,0,0,18,0,7.6,2.6,0.32,Graduate,12,12,12,12.66666667
1,1,9147,1,1,126,1,1,19,4,8,120.1,1,0,0,1,0,0,19,0,8.9,1.4,3.51,Graduate,10,12,10,13.5
1,17,9500,1,1,148,1,1,19,3,3,131.7,1,0,0,1,0,0,19,0,13.9,-0.3,0.79,Dropout,14,15,5,7
1,43,9238,1,1,130,1,38,37,9,7,133.2,0,0,0,1,0,0,20,0,7.6,2.6,0.32,Graduate,16,23,16,11.69047619
1,1,9670,1,1,117,1,1,38,3,9,109.3,0,0,1,0,0,1,19,0,12.4,0.5,1.79,Dropout,12,16,9,12.25
1,17,9670,1,1,120,1,19,19,5,5,113,1,0,0,1,0,0,20,0,7.6,2.6,0.32,Graduate,10,12,8,11.85
1,1,9773,1,1,153,1,1,1,141,175,157.9,0,0,1,1,0,1,18,0,8.9,1.4,3.51,Graduate,12,12,12,14.83333333
1,1,9500,1,1,117,1,19,1,4,7,112.1,0,0,0,1,0,1,20,0,11.1,0.6,2.02,Enrolled,15,18,12,13.04042857
1,18,9500,1,1,178,1,19,1,4,8,174.7,0,0,0,1,0,0,18,0,13.9,-0.3,0.79,Graduate,15,16,15,17.35625
1,1,9500,1,1,129,1,37,37,9,9,128.8,1,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate,14,14,12,12.66666667
1,1,9773,1,1,116,1,19,1,4,4,110.1,1,0,0,1,0,1,19,0,12.4,0.5,1.79,Graduate,12,18,11,12.33333333
1,51,9147,1,1,99,1,3,1,3,3,99.7,1,0,1,0,0,0,22,0,8.9,1.4,3.51,Enrolled,10,15,0,0
1,1,9238,1,1,135,1,1,12,9,10,121,1,0,0,1,0,1,19,0,12.4,0.5,1.79,Graduate,12,13,12,11.41666667
1,1,9500,1,1,141,1,19,19,9,7,131.7,1,0,0,1,0,1,19,0,15.5,2.8,-4.06,Graduate,15,21,15,12.968125
1,17,9853,1,1,132,1,37,38,5,6,119.1,1,0,0,1,0,1,19,0,9.4,-0.8,-3.12,Graduate,12,19,10,11.4
1,1,9254,1,1,132,1,12,19,9,9,124.7,1,0,0,1,0,0,19,0,7.6,2.6,0.32,Dropout,10,20,0,0
1,17,9254,1,1,113,1,1,37,9,10,117.2,1,0,0,1,0,0,20,0,7.6,2.6,0.32,Dropout,12,20,8,11.43333334
1,1,9147,1,1,134,1,3,19,2,10,128.8,0,0,0,1,0,0,18,0,13.9,-0.3,0.79,Graduate,10,19,10,13.77083333
1,1,9500,1,1,136,1,1,19,9,9,131.5,0,0,0,1,0,1,20,0,11.1,0.6,2.02,Graduate,15,17,13,14.02095238
1,1,171,1,1,136,1,3,37,2,8,121.7,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Enrolled,0,0,0,0
1,1,9085,1,1,129,1,1,38,4,7,123.4,0,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate,10,12,10,12.9
1,17,9853,1,1,138,1,38,38,7,6,124.7,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Enrolled,12,21,8,11.58333333
1,1,9853,1,1,137,1,37,37,9,9,132.8,1,0,0,1,0,0,18,0,7.6,2.6,0.32,Graduate,12,15,11,12.56666667
1,43,9853,1,1,115,1,3,37,2,5,108.7,1,0,0,1,0,0,21,0,9.4,-0.8,-3.12,Dropout,12,22,6,11.33333333
1,1,9853,1,1,129,1,38,37,6,6,138.1,0,0,0,1,0,0,19,0,7.6,2.6,0.32,Dropout,12,18,10,11.75
1,1,9147,1,1,131,1,38,38,9,9,126.5,0,0,0,1,0,1,18,0,12.4,0.5,1.79,Graduate,10,10,10,11.2
1,17,9238,1,1,133,1,1,37,7,9,127.4,1,0,0,1,0,1,18,0,12.7,3.7,-1.7,Graduate,12,15,12,12.05357143
1,1,9238,1,1,125,1,19,1,9,10,123.6,1,0,0,1,0,0,20,0,9.4,-0.8,-3.12,Graduate,12,19,10,11.41666667
1,39,8014,0,1,120,1,1,19,6,8,122,0,0,0,1,0,1,24,0,11.1,0.6,2.02,Graduate,12,20,10,11.8
1,1,9670,1,1,128,1,19,1,4,1,118.2,0,0,0,1,0,0,19,0,10.8,1.4,1.74,Dropout,12,15,12,13.08333333
1,1,9500,1,1,127,1,19,37,9,7,123.9,1,0,0,1,0,1,18,0,15.5,2.8,-4.06,Graduate,15,21,14,12.80833334
1,1,9500,1,1,134,1,19,19,9,9,125.8,1,0,0,1,0,0,18,0,15.5,2.8,-4.06,Graduate,15,16,15,15.136875
1,17,9853,1,1,132,1,12,12,4,4,123.3,1,0,0,1,0,0,21,0,10.8,1.4,1.74,Dropout,12,23,7,11.25
1,17,9670,1,1,124,1,1,19,5,4,124.4,0,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate,10,10,10,14.2
1,17,9773,1,1,133.1,1,19,37,7,7,126,0,0,0,1,0,1,19,0,15.5,2.8,-4.06,Graduate,12,13,12,12.75
3,39,9003,1,1,170,1,1,37,6,6,170,0,0,1,1,0,0,47,0,8.9,1.4,3.51,Enrolled,7,1,0,0
1,17,9238,1,1,125,1,19,19,7,8,121.5,0,0,0,1,0,0,19,0,13.9,-0.3,0.79,Graduate,12,22,9,11.33333333
1,39,9500,1,3,130,1,2,2,1,1,130,0,0,0,1,0,0,29,0,12.7,3.7,-1.7,Graduate,16,16,14,14.25714286
1,43,9238,1,1,125,1,19,19,4,8,117,1,0,0,1,0,0,21,0,16.2,0.3,-0.92,Dropout,12,25,5,11.66666667
1,39,9085,1,1,130,1,37,19,9,7,130,1,0,0,1,0,0,28,0,12.7,3.7,-1.7,Enrolled,10,24,8,10.875
1,17,9556,1,1,133.1,1,37,37,3,10,108,0,0,0,1,0,0,20,0,15.5,2.8,-4.06,Graduate,15,16,15,13.00982143
1,17,9500,1,1,131,1,2,38,4,5,132.3,1,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate,14,14,12,11.68333333
1,42,8014,0,1,150,1,19,2,4,6,148,0,0,0,1,0,0,26,0,9.4,-0.8,-3.12,Graduate,12,18,8,11.83333333
1,17,9254,1,1,125,1,37,37,9,8,122.6,1,0,1,0,0,0,20,0,11.1,0.6,2.02,Dropout,12,14,10,12.45833333
1,1,9670,1,1,131,1,37,37,9,9,123,1,0,0,1,0,1,18,0,7.6,2.6,0.32,Enrolled,10,12,7,12.58333333
1,39,9853,1,1,130,1,37,19,9,5,102.5,0,0,0,1,0,0,27,0,7.6,2.6,0.32,Graduate,12,19,10,12.6
1,1,9500,1,1,123,1,34,34,90,90,113.3,1,0,0,1,0,0,20,0,7.6,2.6,0.32,Dropout,14,16,8,11.95
1,1,9853,1,1,141,1,37,19,9,5,133,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Dropout,12,20,10,11.4
1,7,9500,1,3,140,1,1,1,9,5,140,0,0,0,1,0,0,33,0,16.2,0.3,-0.92,Dropout,15,18,12,14.46666667
1,43,9853,1,1,140,1,3,1,3,3,128.3,1,0,0,1,0,0,35,0,12.4,0.5,1.79,Graduate,40,40,40,12.70426065
1,44,9991,0,39,140,1,37,19,9,8,140,0,0,0,1,0,1,26,0,9.4,-0.8,-3.12,Enrolled,12,14,12,12.91666667
1,39,9773,1,19,133.1,1,19,19,3,4,104,0,0,1,0,0,0,27,0,11.1,0.6,2.02,Dropout,12,12,5,6
1,18,9070,1,1,131,1,1,37,5,5,122.3,1,0,0,0,0,0,19,0,15.5,2.8,-4.06,Dropout,12,12,6,6.083333335
1,17,9254,1,1,143,1,1,19,4,6,135,0,0,0,1,0,0,20,0,11.1,0.6,2.02,Dropout,12,0,0,0
1,18,9147,1,1,132,1,3,3,5,7,119.1,1,0,1,0,0,0,20,0,10.8,1.4,1.74,Dropout,10,18,6,10.28571429
1,43,9238,1,1,143,1,1,37,5,9,126.6,0,0,1,0,0,0,21,0,9.4,-0.8,-3.12,Enrolled,16,30,12,10.75
1,17,9500,1,1,141,1,38,1,9,4,129,1,0,0,1,0,1,18,0,7.6,2.6,0.32,Graduate,14,14,12,13.05
1,39,9085,1,1,133.1,1,1,19,9,9,162.3,1,0,0,1,0,0,24,0,8.9,1.4,3.51,Dropout,12,16,2,5.5
1,17,9070,1,1,148,1,1,3,4,1,163.4,1,0,0,1,0,0,20,0,16.2,0.3,-0.92,Graduate,12,13,12,11.75
1,1,9254,1,1,125,1,19,38,9,8,121.5,0,0,0,1,0,1,21,0,13.9,-0.3,0.79,Graduate,12,13,12,12.25
1,1,8014,0,1,120,1,1,37,7,3,122.8,0,0,0,1,0,0,23,0,9.4,-0.8,-3.12,Enrolled,11,25,3,10
1,39,9147,1,1,140,1,12,3,4,3,118,1,0,0,1,0,0,24,0,7.6,2.6,0.32,Dropout,10,10,0,0
